Country,Basic,Currency,,Price USD,# of TV Shows,# of Movies,Total Library Size,Price per Title,,% Difference (Cost per Month) to Average,% Difference (Cost Per Month) to Most Expensive,% Difference (Cost Per Month) to Cheapest,% Difference (Cost per Title) to Average,% Difference (Cost per Title)  to Most Expensive,% Difference (Cost per Title)  to Cheapest
Turkey,26.99,TRY,USD,1.97,2930,1709,4639,0.00043,,123.76,146.85,0.00,118.52,163.41,0.00
India,199,INR,USD,2.64,3718,2125,5843,0.00045,,104.19,131.97,-28.87,114.56,161.37,-6.00
Argentina,379,ARS,USD,3.74,3154,1606,4760,0.00079,,76.63,110.04,-61.77,71.72,137.32,-59.43
Colombia,16900,COP,USD,4.31,3156,1835,4991,0.00086,,64.12,99.69,-74.39,63.26,132.11,-68.01
Brazil,25.9,BRL,USD,4.61,3162,1810,4972,0.00093,,58.00,94.53,-80.14,56.77,127.99,-74.24
Ukraine,4.99,EUR,USD,5.64,3261,2075,5336,0.00106,,39.16,78.25,-96.26,44.64,120.02,-85.15
South Africa,99,ZAR,USD,6.26,3686,2050,5736,0.00109,,29.04,69.24,-104.07,41.59,117.95,-87.75
Hungary,2490,HUF,USD,7.64,4802,2082,6884,0.00111,,9.21,51.04,-117.91,39.88,116.78,-89.18
Philippines,369,PHP,USD,7.35,4154,2208,6362,0.00115,,13.18,54.75,-115.28,36.11,114.17,-92.28
United Kingdom,5.99,GBP,USD,7.91,4551,2092,6643,0.00119,,5.74,47.78,-120.15,33.07,112.04,-94.73
Czech Republic,199,CZK,USD,8.83,5234,2091,7325,0.00121,,-5.18,37.35,-126.90,31.95,111.25,-95.62
Peru,24.9,PEN,USD,6.11,3155,1831,4986,0.00122,,31.40,71.35,-102.30,30.36,110.12,-96.87
Canada,9.99,CAD,USD,7.91,4311,1928,6239,0.00127,,5.83,47.86,-120.10,27.02,107.72,-99.46
Australia,10.99,AUD,USD,7.84,4050,2064,6114,0.00128,,6.72,48.71,-119.52,25.92,106.92,-100.31
Slovakia,7.99,EUR,USD,9.03,5055,1980,7035,0.00128,,-7.40,35.21,-128.22,25.82,106.85,-100.38
Mexico,139,MXN,USD,6.62,3158,1835,4993,0.00133,,23.49,64.22,-108.12,22.59,104.49,-102.82
