,Country,Basic,Currency,Price USD,# of TV Shows,# of Movies,Total Library Size,Price per Title,% Difference (Cost per Month) to Average,% Difference (Cost Per Month) to Most Expensive,% Difference (Cost Per Month) to Cheapest,% Difference (Cost per Title) to Average,% Difference (Cost per Title)  to Most Expensive,% Difference (Cost per Title)  to Cheapest,country code
47,Portugal,7.99,EUR,9.03,3419,1628,5047,0.00179,-7.4,35.21,-128.22,-7.24,81.07,-123.12,PRT
48,Uruguay,8.99,USD,8.99,3154,1835,4989,0.0018,-7.0,35.6,-127.98,-7.99,80.44,-123.59,URY
49,Costa Rica,8.99,USD,8.99,3152,1836,4988,0.0018,-7.0,35.6,-127.98,-8.01,80.42,-123.6,CRI
50,Israel,32.9,ILS,10.56,3650,2063,5713,0.00185,-22.96,19.85,-136.99,-10.5,78.32,-125.13,ISR
51,France,8.99,EUR,10.16,3604,1841,5445,0.00187,-19.13,23.68,-134.9,-11.43,77.53,-125.7,FRA
52,Greece,7.99,EUR,9.03,3344,1428,4772,0.0018899999999999998,-7.4,35.21,-128.22,-12.83,76.34,-126.54,GRC
53,Taiwan,270.0,TWD,9.74,3134,1971,5105,0.0019100000000000002,-14.98,27.79,-132.59,-13.69,75.6,-127.06,TWN
54,Belgium,8.99,EUR,10.16,3374,1616,4990,0.0020399999999999997,-19.13,23.68,-134.9,-20.1,69.99,-130.83,BEL
55,Indonesia,120000.0,IDR,8.36,2449,1438,3887,0.00215,0.27,42.59,-123.59,-25.55,65.11,-133.93,IDN
56,Norway,89.0,NOK,9.94,2955,1573,4528,0.0021899999999999997,-16.96,25.84,-133.7,-27.51,63.31,-135.03,NOR
57,Finland,7.99,EUR,9.03,2638,1407,4045,0.00223,-7.4,35.21,-128.22,-29.16,61.79,-135.94,FIN
58,Moldova,7.99,EUR,9.03,2473,1464,3937,0.00229,-7.4,35.21,-128.22,-31.81,59.33,-137.38,MDA
59,Switzerland,11.9,CHF,12.88,3654,1852,5506,0.00234,-42.33,0.0,-146.85,-33.79,57.47,-138.45,CHE
60,Sweden,99.0,SEK,10.9,2973,1388,4361,0.0025,-26.07,16.72,-138.65,-40.12,51.4,-141.79,SWE
61,Denmark,79.0,DKK,12.0,2978,1580,4558,0.00263,-35.51,7.09,-143.5,-45.13,46.46,-144.35,DNK
62,San Marino,7.99,EUR,9.03,1937,373,2310,0.00391,-7.4,35.21,-128.22,-80.56,7.85,-160.72,SMR
63,Croatia,7.99,EUR,9.03,1675,599,2274,0.0039700000000000004,-7.4,35.21,-128.22,-81.87,6.28,-161.27,HRV
64,Liechtenstein,11.9,CHF,12.88,1712,1336,3048,0.004229999999999999,-42.33,0.0,-146.85,-87.03,0.0,-163.41,LIE
